District,Age
Parasi,15
Nawalpur,40
Morang,12
Myagdi,17
Dailekh,46
Bardiya,16
Dhankuta,19
Banke,35
Dailekh,15
Jhapa,7
Chitwan,NA
Rautahat,4
Ramechhap,46
Saptari,15
Bara,13
Makwanpur,17
Mugu,40
Kathmandu,16
Gulmi,15
Parsa,17
Kailali,14
Jhapa,14
Rukum West,30
Lalitpur,21
Kanchanpur,19
Kailali,13
Kathmandu,NA
Lalitpur,16
Dang,15
Sindhupalchok,14
Dhanusha,35
Jhapa,14
Rupandehi,16
Rupandehi,48
Gorkha,14
Kathmandu,NA
Dhanusha,16
Saptari,12
Rautahat,10
Gulmi,13
Dhanusha,10
Bajura,NA
Rupandehi,14
Rautahat,7
Lalitpur,20
Kathmandu,NA
Kailali,21
Bhaktapur,NA
Lalitpur,27
Bara,23
Mahottari,17
Mahottari,17
Bara,10
Kathmandu,18
Siraha,35
Banke,19
Dang,17
Kathmandu,17
Chitwan,25
Udayapur,5
Lalitpur,14
Dolakha,8
Lalitpur,18
Dolakha,16
Kathmandu,17
Kapilvastu,16
Kapilvastu,13
Rautahat,17
Rautahat,18
Myagdi,26
Gulmi,6
Bara,17
Banke,NA
Sarlahi,15
Bajura,17
Terhathum,13
Terhathum,17
Jhapa,9
Mugu,11
Kathmandu,22
Rupandehi,22
Syangja,19
Kailali,17
Rupandehi,15
Saptari,14
Rautahat,10
Bardiya,4
Kanchanpur,15
Nuwakot,6
Kapilvastu,NA
Dhanusha,25
Bhaktapur,14
Morang,14
Jhapa,5
Udayapur,14
Sunsari,16
Dang,15
Saptari,16
Rautahat,16
Jhapa,7
Siraha,15
Palpa,12
Rupandehi,15
Morang,16
Salyan,NA
Bhojpur,16
Darchula,16
Siraha,10
Dhanusha,22
Nuwakot,15
Bhaktapur,13
Morang,15
Nawalpur,8
Rupandehi,16
Dang,17
Parsa,14
Parsa,16
Dhankuta,13
Kapilvastu,15
Saptari,8
Morang,17
Sunsari,8
Dang,15
Morang,25
Sunsari,15
Rupandehi,20
Bardiya,22
Udayapur,8
Makwanpur,16
Siraha,15
Bhaktapur,20
Palpa,NA
Myagdi,49
Dhading,16
Syangja,19
Kapilvastu,NA
Sunsari,16
Dang,10
Sindhupalchok,18
Jhapa,14
Saptari,29
Kailali,13
Siraha,17
Udayapur,26
Parasi,4
Udayapur,15
Kathmandu,7
Dang,18
Parasi,17
Panchthar,19
Siraha,15
Bhaktapur,14
Dang,34
Kapilvastu,19
Rupandehi,8
Kailali,14
Siraha,NA
Nuwakot,16
Nawalpur,7
Nawalpur,8
Kanchanpur,15
Siraha,14
Lalitpur,14
Kailali,NA
Parasi,17
Taplejung,11
Saptari,17
Jhapa,17
Kanchanpur,9
Kailali,12
Dang,13
Kapilvastu,7
Bhaktapur,13
Lalitpur,15
Saptari,17
Kanchanpur,8
Bhaktapur,15
Parbat,22
Lalitpur,NA
Bara,16
Sindhupalchok,17
Kailali,16
Rukum East,13
Rukum East,NA
Sindhuli,15
Salyan,13
Kathmandu,12
Kathmandu,14
Kailali,11
Banke,9
Banke,14
Kapilvastu,16
Jhapa,20
Rukum West,6
Bardiya,14
Gulmi,13
Okhaldhunga,11
Dang,17
Kapilvastu,18
Kanchanpur,11
Gulmi,16
Sindhupalchok,16
Udayapur,12
Bardiya,11
Dang,31
Achham,13
Dhanusha,30
Palpa,4
Lalitpur,7
Lalitpur,NA
Rautahat,14
Jhapa,14
Baitadi,61
Baitadi,11
Kaski,NA
Jhapa,12
Dhanusha,14
Parsa,15
Siraha,15
Okhaldhunga,27
Gulmi,15
Jhapa,NA
Panchthar,17
Siraha,6
Dang,NA
Bardiya,12
Parbat,17
Lalitpur,16
Okhaldhunga,23
Jhapa,9
Kailali,14
Kailali,16
Bhaktapur,17
Okhaldhunga,4
Okhaldhunga,16
Rupandehi,16
Morang,15
Bhojpur,NA
Salyan,14
Taplejung,20
Jumla,7
Dadeldhura,13
Rukum East,21
Lalitpur,14
Rolpa,57
Dhanusha,18
Kanchanpur,18
Rukum East,15
Bardiya,20
Banke,28
Gorkha,14
Kaski,13
Kailali,14
Parasi,13
Parasi,21
Parasi,8
Udayapur,15
Taplejung,70
Okhaldhunga,6
Kailali,30
Dolpa,18
Okhaldhunga,21
Rupandehi,15
Udayapur,15
Jhapa,36
Saptari,21
Dhanusha,14
Kathmandu,16
Kailali,3
Salyan,15
Rautahat,14
Lalitpur,21
Salyan,12
Kathmandu,NA
Kathmandu,NA
Lalitpur,15
Tanahu,NA
Sunsari,52
Bhaktapur,17
Dang,NA
Rautahat,NA
Saptari,11
Lalitpur,36
Makwanpur,7
Kathmandu,17
Chitwan,17
Chitwan,16
Morang,14
Bardiya,11
Morang,7
Saptari,11
Dang,21
Rupandehi,17
Sindhuli,13
Panchthar,22
Lalitpur,13
Dhanusha,NA
Sunsari,16
Saptari,20
Ramechhap,31
Rukum West,13
Dang,14
Kanchanpur,15
Kalikot,19
Dhading,5
Jhapa,NA
Kanchanpur,15
Bhaktapur,31
Mustang,15
Udayapur,8
Kailali,17
Bhaktapur,17
Myagdi,24
Makwanpur,NA
Syangja,9
Kailali,23
Kapilvastu,11
Dhanusha,15
Sunsari,15
Kathmandu,7
Jhapa,11
Kaski,23
Kathmandu,19
Kanchanpur,NA
Kailali,13
Sindhupalchok,NA
Siraha,21
Lamjung,9
Lamjung,11
Kaski,18
Kaski,4
Saptari,18
Baitadi,17
Kailali,21
Surkhet,14
Kaski,31
Kaski,36
Saptari,15
Rukum West,15
Panchthar,14
Siraha,13
Dhanusha,14
Doti,NA
Dolakha,57
Saptari,17
Kavrepalanchok,14
Ramechhap,11
Saptari,15
Lalitpur,17
Rautahat,14
Sunsari,15
Dang,13
Okhaldhunga,17
Kanchanpur,26
Jhapa,20
Udayapur,20
Kailali,24
Dang,40
Saptari,17
Taplejung,16
Kavrepalanchok,NA
Kailali,NA
Sunsari,14
Bhojpur,20
Salyan,22
Kapilvastu,NA
Okhaldhunga,8
Okhaldhunga,42
Bhojpur,20
Udayapur,14
Udayapur,7
Sunsari,NA
Saptari,11
Baitadi,23
Chitwan,11
Udayapur,NA
Parbat,6
Rautahat,15
Tanahu,11
Makwanpur,11
Saptari,11
Dhading,14
Bardiya,19
Bardiya,14
Sunsari,35
Doti,12
Bhaktapur,16
Siraha,22
Sindhupalchok,32
Rautahat,13
Siraha,20
Siraha,NA
Kanchanpur,15
Saptari,14
Kathmandu,16
Siraha,NA
Siraha,16
Morang,5
Sunsari,22
Jhapa,22
Kapilvastu,26
Bardiya,34
Taplejung,17
Siraha,40
Dhanusha,14
Lalitpur,16
Dhanusha,16
Kanchanpur,19
Sunsari,13
Kailali,11
Kathmandu,7
Parasi,16
Bardiya,19
Sunsari,17
Parsa,NA
Palpa,13
Dhanusha,15
Dhanusha,14
Nawalpur,NA
Kathmandu,17
Kapilvastu,23
Siraha,16
Kathmandu,13
Bhojpur,55
Kapilvastu,16
Udayapur,40
Okhaldhunga,17
Dang,17
Sunsari,15
Siraha,13
Kathmandu,16
Dang,17
Rautahat,15
Salyan,55
Parasi,3
Dhanusha,NA
Tanahu,12
Tanahu,9
Tanahu,11
Salyan,11
Arghakhanchi,13
Parasi,21
Kathmandu,5
Sindhupalchok,16
Sunsari,16
Siraha,14
Dhanusha,16
Terhathum,29
Kailali,13
Kailali,14
Kailali,34
Udayapur,NA
Bardiya,21
Dhading,30
Sunsari,34
Bara,NA
Saptari,17
Udayapur,18
Sunsari,23
Dhading,3
Ilam,13
Dhanusha,9
Sunsari,22
Sunsari,22
Makwanpur,11
Udayapur,16
Taplejung,NA
Taplejung,NA
Saptari,NA
Doti,15
Kathmandu,11
Morang,14
Morang,21
Dang,11
Sindhupalchok,45
Okhaldhunga,41
Sunsari,13
Sunsari,30
Saptari,35
Lalitpur,9
Makwanpur,60
Jhapa,21
Rautahat,16
Kathmandu,16
Gorkha,17
Makwanpur,23
Kathmandu,7
Udayapur,NA
Syangja,19
Dang,15
Saptari,35
Syangja,14
Saptari,19
Kailali,38
Kathmandu,NA
Kathmandu,14
Morang,23
Makwanpur,4
Dhanusha,18
Kathmandu,23
Sunsari,17
Parsa,5
Banke,10
Banke,12
Kailali,10
Rautahat,11
Dhanusha,18
Siraha,23
Dolakha,12
Bardiya,41
Kaski,13
Bhaktapur,12
Morang,35
Parasi,15
Ramechhap,15
Terhathum,51
Okhaldhunga,10
Kathmandu,9
Nuwakot,26
Udayapur,11
Gulmi,20
Dhanusha,50
Jhapa,12
Tanahu,14
Palpa,20
Lalitpur,16
Jhapa,70
Kanchanpur,13
Nuwakot,13
Siraha,27
Myagdi,6
Banke,48
Lalitpur,26
Udayapur,43
Ilam,17
Kathmandu,39
Bardiya,14
Lalitpur,64
Makwanpur,21
Bhojpur,14
Syangja,17
Bardiya,17
Sunsari,21
Kaski,7
Sunsari,11
Rupandehi,65
Baitadi,17
Lalitpur,17
Rupandehi,5
Kailali,27
Kathmandu,15
Kanchanpur,17
Rupandehi,11
Bardiya,13
Ilam,15
Saptari,21
Parsa,11
Dang,18
Jhapa,27
Rupandehi,34
Siraha,24
Saptari,37
Bhaktapur,19
Kailali,18
Saptari,5
Dolpa,40
Saptari,17
Baitadi,17
Salyan,13
Sunsari,17
Makwanpur,51
Banke,15
Morang,17
Gorkha,14
Myagdi,10
Tanahu,23
Siraha,15
Udayapur,20
Gulmi,13
Parasi,16
Dailekh,6
Kapilvastu,16
Kathmandu,14
Bara,76
Syangja,6
Baitadi,18
Kathmandu,17
Darchula,21
Rupandehi,31
Makwanpur,15
Kailali,15
Rupandehi,5
Palpa,23
Bara,15
Makwanpur,16
Morang,11
Saptari,10
Saptari,26
Saptari,6
Morang,11
Dailekh,15
Gorkha,14
Siraha,29
Lamjung,12
Dang,11
Saptari,11
Nawalpur,13
Kailali,17
Saptari,25
Udayapur,17
Salyan,15
Udayapur,17
Saptari,17
Bhojpur,31
Syangja,27
Rupandehi,12
Mahottari,13
Kailali,27
Ramechhap,55
Kapilvastu,85
Dhanusha,7
Siraha,11
Dang,11
Dang,13
Parsa,21
Bhaktapur,13
Kapilvastu,33
Kathmandu,37
Kanchanpur,51
Salyan,15
Sindhupalchok,71
Solukhumbu,22
Lalitpur,16
Dadeldhura,NA
Bajhang,NA
Salyan,NA
Bara,17
Morang,8
Sunsari,15
Tanahu,14
Rukum East,14
Rukum East,15
Parsa,NA
Nuwakot,13
Achham,NA
Banke,25
Dang,11
Dailekh,18
Kailali,11
Sunsari,16
Kailali,19
Rupandehi,13
Rupandehi,19
Udayapur,22
Saptari,30
Dang,14
Jhapa,13
Morang,60
Terhathum,13
Rupandehi,14
Sunsari,16
Morang,16
Nawalpur,18
Baglung,15
Bhaktapur,NA
Okhaldhunga,25
Humla,46
Saptari,25
Nawalpur,60
Syangja,15
Gulmi,24
Baglung,14
Bajhang,14
Kathmandu,NA
Parasi,35
Jhapa,14
Chitwan,NA
