District,P or V,Ethnicity code
Makwanpur,P,AVS
Makwanpur,P,BMN
Kathmandu,P,AVS
Kathmandu,P,AVS
Dang,P,AVS
Saptari,P,OTR
Ilam,P,AVS
Saptari,P,AVS
Siraha,P,CHT
Kanchanpur,P,OTR
Bardiya,P,JNJT
Kanchanpur,P,DLT
Rautahat,P,REG
Syangja,P,AVS
Siraha,P,MDS
Siraha,P,MDS
Siraha,P,CHT
Bhaktapur,P,DLT
Sunsari,P,MDS
Kathmandu,P,AVS
Bhaktapur,P,AVS
Solukhumbu,P,AVS
Lalitpur,P,AVS
Kailali,P,AVS
Salyan,P,OTR
Dang,P,OTR
Dang,P,AVS
Myagdi,P,CHT
Nawalpur,P,JNJT
Kailali,P,MDS
Siraha,P,MDS
Saptari,P,AVS
Panchthar,P,AVS
Kanchanpur,P,CHT
Parasi,P,MDS
Bara,P,MDS
Morang,P,BMN
Dolakha,P,AVS
Parasi,P,MDS
Morang,P,CHT
Salyan,P,JNJT
Dailekh,P,CHT
Bardiya,P,JNJT
Dhankuta,P,AVS
Banke,P,JNJT
Dailekh,P,REG
Chitwan,P,BMN
Chitwan,P,JNJT
Chitwan,P,BMN
Rautahat,P,MDS
Ramechhap,P,BMN
Saptari,P,MDS
Bara,P,BMN
Makwanpur,P,AVS
Mugu,P,JNJT
Dhading,P,BMN
Gulmi,P,JNJT
Gulmi,P,KAVS
Baglung,P,JNJT
Parsa,P,MDS
Kailali,P,OTR
Jhapa,P,DLT
Jajarkot,P,CHT
Lalitpur,P,AVS
Kanchanpur,P,AVS
Nuwakot,P,BMN
Nuwakot,P,AVS
Dang,P,DLT
Sindhupalchok,P,DLT
Mahottari,P,MDS
India,P,MDS
Saptari,P,REG
Rupandehi,P,MDS
Rupandehi,P,MDS
Rupandehi,P,MDS
Rupandehi,P,JNJT
Gorkha,P,DLT
Kathmandu,P,BMN
Dhanusha,P,AVS
Saptari,P,MSLM
Rautahat,P,REG
Gulmi,P,JNJT
Dhanusha,P,DLT
Dhanusha,P,REG
Rupandehi,P,OTR
Myagdi,P,REG
Bhaktapur,P,AVS
Kailali,P,AVS
Bhaktapur,P,AVS
Bara,P,MDS
Kathmandu,P,REG
Kailali,P,MDS
Kailali,P,MDS
Kailali,P,MDS
Banke,P,CHT
Dang,P,DLT
Chitwan,P,MDS
Udayapur,P,BMN
Sindhuli,P,DLT
Dolakha,P,AVS
Dang,P,AVS
Dang,P,AVS
Siraha,P,DLT
Dang,P,DLT
Kapilvastu,P,MSLM
Rautahat,P,MDS
Rautahat,P,MDS
Myagdi,P,CHT
Gulmi,P,AVS
Bara,P,MSLM
Banke,P,REG
Banke,P,BMN
Sarlahi,P,AVS
Bajura,P,DLT
Terhathum,P,AVS
Mugu,P,DLT
Jhapa,P,DLT
Rupandehi,P,CHT
Syangja,P,CHT
Syangja,P,CHT
Kailali,P,DLT
Kailali,P,DLT
Kailali,P,AVS
Kailali,P,CHT
Rupandehi,P,JNJT
Saptari,P,MDS
Rautahat,P,MSLM
Bardiya,P,JNJT
Kanchanpur,P,CHT
Nuwakot,P,BMN
Dhanusha,P,MDS
Morang,P,AVS
Udayapur,P,DLT
Sunsari,P,AVS
Dang,P,AVS
Saptari,P,MDS
Rautahat,P,AVS
Jhapa,P,AVS
Siraha,P,MDS
Palpa,P,KAVS
Rupandehi,P,MDS
Morang,P,AVS
Bhojpur,P,DLT
Darchula,P,DLT
Siraha,P,BMN
Dhanusha,P,MDS
Nuwakot,P,BMN
Bhaktapur,P,REG
Morang,P,AVS
Nawalpur,P,CHT
Rupandehi,P,AVS
Dang,P,DLT
Parsa,P,REG
Dhankuta,P,OTR
Dhankuta,P,AVS
Dhankuta,P,JNJT
Dhankuta,P,BMN
Kapilvastu,P,MDS
Morang,P,MDS
Sunsari,P,AVS
Dang,P,CHT
Dang,P,DLT
Morang,P,MDS
Sunsari,P,OTR
Rupandehi,P,REG
Bardiya,P,JNJT
Udayapur,P,AVS
Makwanpur,P,AVS
India,P,MDS
Kavrepalanchok,P,AVS
Bhaktapur,P,BMN
Palpa,P,DLT
Myagdi,P,MDS
Kapilvastu,P,DLT
Dang,P,AVS
Jhapa,P,BMN
Qatar,P,MSLM
Siraha,P,MDS
Udayapur,P,DLT
Parasi,P,MDS
Udayapur,P,DLT
Dang,P,JNJT
Parasi,P,MDS
Panchthar,P,BMN
Siraha,P,MDS
Siraha,P,MDS
Siraha,P,MDS
Siraha,P,MDS
Siraha,V,MDS
Bhaktapur,P,AVS
Bhaktapur,V,MDS
Kapilvastu,P,MDS
Kailali,P,DLT
Kailali,P,JNJT
Kailali,P,DLT
Kailali,P,DLT
Nuwakot,P,AVS
Rupandehi,P,DLT
Kailali,P,DLT
Kailali,P,DLT
Kailali,P,DLT
Parasi,P,MSLM
Taplejung,P,AVS
Saptari,P,AVS
Jhapa,P,AVS
Kailali,P,CHT
Kailali,P,CHT
Kapilvastu,P,BMN
Bhaktapur,P,CHT
Sarlahi,P,AVS
Saptari,P,MDS
Baitadi,P,BMN
Kavrepalanchok,P,DLT
Parbat,P,DLT
Lalitpur,P,AVS
Bara,P,CHT
Kailali,P,JNJT
Rukum East,P,BMN
Sindhuli,P,DLT
Kathmandu,P,BMN
Kailali,P,AVS
Banke,P,KAVS
Kapilvastu,P,JNJT
Jhapa,P,AVS
Bardiya,P,MDS
Gulmi,P,DLT
Okhaldhunga,P,DLT
Kapilvastu,P,MSLM
Kapilvastu,P,MDS
Kanchanpur,P,BMN
Gulmi,P,BMN
Sindhupalchok,P,AVS
Udayapur,P,AVS
Bardiya,P,DLT
Dang,P,DLT
Achham,P,DLT
Dhanusha,P,MDS
Palpa,P,DLT
Dhading,P,AVS
Lalitpur,P,OTR
Rautahat,P,MSLM
Jhapa,P,AVS
Kaski,P,AVS
Kaski,P,AVS
Kaski,P,AVS
Kaski,P,AVS
Siraha,P,CHT
Siraha,P,MDS
Gulmi,P,JNJT
Panchthar,P,AVS
Siraha,P,AVS
Dang,P,MDS
Bardiya,P,OTR
Lalitpur,P,AVS
Siraha,P,REG
Jhapa,P,AVS
Bhaktapur,P,BMN
Rupandehi,P,BMN
Morang,P,AVS
Bhojpur,P,AVS
Salyan,P,CHT
Taplejung,P,AVS
Jumla,P,REG
Rukum East,P,DLT
Kailali,P,CHT
Rolpa,P,JNJT
Dhanusha,P,DLT
Kanchanpur,P,MDS
Bardiya,P,JNJT
Banke,P,JNJT
Gorkha,P,MDS
Kailali,P,AVS
Parasi,P,AVS
Parasi,P,DLT
Udayapur,P,CHT
Taplejung,P,AVS
Okhaldhunga,P,BMN
Kailali,P,AVS
Dolpa,P,MDS
Dolpa,P,MDS
Okhaldhunga,P,AVS
Rupandehi,P,MDS
Udayapur,P,CHT
Jhapa,P,AVS
Saptari,P,MDS
Kathmandu,P,KAVS
Kailali,P,AVS
Salyan,P,BMN
Rautahat,P,MSLM
Chitwan,P,DLT
