,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
1947,opportunist,assault,police,physical injury,27/05/2022,palpa,gorkhapatraonline.com
1948,opportunist,assault,police,physical injury,28/05/2022,myagdi,inseconline.org
1949,opportunist,assault,police,physical injury,28/05/2022,baitadi,imagekhabar.com
1950,opportunist,assault,police,physical injury,30/05/2022,saptari,inseconline.org
1951,minor,assault,police,physical injury,30/05/2022,bardiya,ratopati.com
1952,gang,assault,police,physical injury,30/05/2022,rupandehi,kharibot.com
1953,minor,assault,police,physical injury,31/05/2022,gulmi,thahakhabar.com
1954,opportunist,assault,police,physical injury,1/6/2022,darchula,ekantipur.com
1955,gang,assault,police,physical injury,1/6/2022,kapilvastu,khabarbreak.com
1956,gang,assault,police,physical injury,2/6/2022,jumla,inseconline.org
1957,opportunist,assault,relative,physical injury,2/6/2022,sindhupalchowk,inseconline.org
1958,opportunist,assault,victim,physical injury,2/6/2022,lalitpur,inseconline.org
1959,opportunist,assault,victim,physical injury,3/6/2022,sankhuwasabha,inseconline.org
1960,opportunist,assault,victim,physical injury,3/6/2022,mugu,inseconline.org
1961,opportunist,assault,police,physical injury,3/6/2022,kailali,pahilopost.com
1962,opportunist,assault,victim,physical injury,4/6/2022,baglung,inseconline.org
1963,opportunist,assault,police,physical injury,4/6/2022,kathmandu,pahilopost.com
1964,opportunist,assault,police,physical injury,4/6/2022,kathmandu,newsofnepal.com
1965,minor,assault,victim,physical injury,5/6/2022,lamjung,inseconline.org
1966,opportunist,assault,police,physical injury,5/6/2022,jajarkot,inseconline.org
1967,minor,assault,police,physical injury,5/6/2022,lalitpur,ratopati.com
1968,gang,assault,police,physical injury,5/6/2022,kapilvastu,thahakhabar.com
1969,opportunist,assault,police,physical injury,5/6/2022,darchula,ekantipur.com
1970,opportunist,assault,victim,physical injury,6/6/2022,dailekh,inseconline.org
1971,minor,harassment,victim,physical injury,6/6/2022,kapilvastu,inseconline.org
1972,opportunist,attempt,police,physical injury,6/6/2022,rupandehi,inseconline.org
1973,opportunist,assault,police,physical injury,6/6/2022,lamjung,ekantipur.com
1974,opportunist,assault,victim,physical injury,7/6/2022,jumla,inseconline.org
1975,minor,assault,police,physical injury,7/6/2022,jhapa,kharibot.com
1976,gang,assault,police,physical injury,7/6/2022,chitwan,onlinekhabar.com
1977,minor,assault,police,murder,7/6/2022,surkhet,onlinekhabar.com
1978,opportunist,assault,police,physical injury,8/6/2022,palpa,onlinekhabar.com
1979,opportunist,assault,police,physical injury,8/6/2022,terhathum,inseconline.org
1980,opportunist,attempt,police,physical injury,10/6/2022,palpa,onlinekhabar.com
1981,opportunist,assault,police,physical injury,10/6/2022,bardiya,kharibot.com
1982,opportunist,assault,police,physical injury,10/6/2022,bara,kharibot.com
1983,opportunist,assault,police,physical injury,9/6/2022,lalitpur,onlinekhabar.com
1984,opportunist,assault,police,physical injury,10/6/2022,rupandehi,inseconline.org
1985,minor,assault,police,physical injury,10/6/2022,baglung,nagariknetwork.com
1986,minor,abuse,victim,physical injury,10/6/2022,jhapa,inseconline.org
1987,minor,assault,police,physical injury,11/6/2022,illam,deshsanchar.com
1988,opportunist,assault,police,physical injury,11/6/2022,kathmandu,nepallive.com
1989,opportunist,assault,police,physical injury,12/6/2022,mustang,deshsanchar.com
1990,gang,assault,police,physical injury,12/6/2022,kathmandu,ratopati.com
1991,gang,assault,police,physical injury,12/6/2022,bara,annapurnapost.com
1992,opportunist,assault,police,physical injury,12/6/2022,gulmi,pahilopost.com
1993,opportunist,assault,police,physical injury,13/06/2022,mahottari,ratopati.com
1994,opportunist,attempt,police,physical injury,13/06/2022,nuwakot,setopati.com
1995,gang,assault,police,physical injury,14/06/2022,okhaldhunga,kharibot.com
1996,opportunist,attempt,police,physical injury,14/06/2022,rukum,gorkhapatraonline.com
1997,minor,assault,police,physical injury,15/06/2022,rupandehi,inseconline.org
1998,minor,assault,police,physical injury,15/06/2022,rupandehi,newsofnepal.com
1999,opportunist,assault,victim,physical injury,15/06/2022,myagdi,inseconline.org
2000,opportunist,assault,police,physical injury,16/06/2022,kailali,deshsanchar.com
2001,minor,assault,police,physical injury,17/06/2022,dhankuta,ekantipur.com
2002,gang,assault,police,physical injury,17/06/2022,dang,onlinekhabar.com
2003,gang,assault,victim,physical injury,18/06/2022,bajhang,saurahaonline.com
2004,opportunist,assault,police,physical injury,19/06/2022,makwanpur,khabarbreak.com
2005,minor,assault,police,physical injury,21/06/2022,palpa,kantipath.com
2006,minor,assault,police,physical injury,21/06/2022,tanahu,inseconline.org
2007,opportunist,assault,police,physical injury,21/06/2022,bajhang,ekantipur.com
2008,minor,assault,victim,physical injury,22/06/2022,bara,onlinekhabar.com
2009,minor,assault,police,physical injury,23/06/2022,taplejung,inseconline.org
2010,opportunist,assault,victim,physical injury,23/06/2022,solukhumbu,inseconline.org
2011,gang,assault,police,physical injury,24/06/2022,udayapur,inseconline.org
2012,opportunist,assault,police,physical injury,24/06/2022,doti,inseconline.org
2013,opportunist,assault,police,physical injury,25/06/2022,saptari,inseconline.org
2014,minor,assault,victim,physical injury,26/06/2022,sindhupalchowk,inseconline.org
2015,opportunist,assault,police,physical injury,26/06/2022,jajarkot,inseconline.org
2016,minor,assault,police,physical injury,27/06/2022,khotang,inseconline.org
2017,opportunist,assault,police,physical injury,27/06/2022,morang,inseconline.org
2018,opportunist,assault,police,physical injury,28/06/2022,gulmi,ratopati.com
2019,opportunist,assault,police,physical injury,28/06/2022,ramechhap,ekantipur.com
