,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
930,opportunist,assault,police,physical injury,28/03/2020,myagdi,inseconline.org
931,minor,assault,police,physical injury,2/4/2020,gulmi,nepalpolice.gov.np
932,opportunist,assault,family,physical injury,2/4/2020,bara,ratopati.com
933,gang,assault,family,physical injury,5/4/2020,banke,ratopati.com
934,opportunist,assault,police,physical injury,8/4/2020,sarlahi,nepalpolice.gov.np
935,opportunist,assault,police,physical injury,9/4/2020,bajura,nepalpolice.gov.np
936,opportunist,assault,police,physical injury,9/4/2020,terhathum,nepalpolice.gov.np
937,minor,assault,police,physical injury,10/4/2020,jhapa,nepalpolice.gov.np
938,opportunist,assault,police,physical injury,11/4/2020,mugu,nepalpolice.gov.np
939,opportunist,assault,police,physical injury,13/04/2020,kathmandu,nepalpolice.gov.np
940,opportunist,assault,police,physical injury,13/04/2020,rupandehi,nepalpolice.gov.np
941,gang,assault,family,physical injury,13/04/2020,syangja,ratopati.com
942,gang,assault,police,physical injury,14/04/2020,kailali,nepalpolice.gov.np
943,opportunist,assault,police,physical injury,15/04/2020,rupandehi,nepalpolice.gov.np
944,opportunist,assault,police,physical injury,15/04/2020,saptari,nepalpolice.gov.np
945,minor,assault,police,physical injury,17/04/2020,rautahat,thehimalayantimes.com
946,minor,assault,police,physical injury,18/04/2020,bardiya,nepalpolice.gov.np
947,opportunist,assault,family,physical injury,18/04/2020,kanchanpur,dineshkhabar.com
948,minor,assault,police,physical injury,20/04/2020,nuwakot,nepalpolice.gov.np
949,gang,assault,police,physical injury,21/04/2020,kapilvastu,khabarhub.com
950,opportunist,assault,police,physical injury,25/04/2020,dhanusa,nepalpolice.gov.np
951,opportunist,assault,police,physical injury,25/04/2020,bhaktapur,nepalpolice.gov.np
952,opportunist,assault,police,physical injury,28/04/2020,morang,nepalpolice.gov.np
953,minor,assault,police,physical injury,29/04/2020,jhapa,khabarhub.com
954,opportunist,assault,police,physical injury,30/04/2020,udayapur,nepalpolice.gov.np
955,gang,assault,police,physical injury,1/5/2020,sunsari,nepalpolice.gov.np
956,opportunist,assault,police,physical injury,2/5/2020,dang,khabarhub.com
957,opportunist,assault,police,physical injury,4/5/2020,saptari,nepalpolice.gov.np
958,opportunist,assault,police,physical injury,6/5/2020,rautahat,nepalpolice.gov.np
959,minor,assault,police,physical injury,6/5/2020,jhapa,nepalpolice.gov.np
960,opportunist,assault,police,physical injury,6/5/2020,siraha,inseconline.org
961,opportunist,assault,police,physical injury,6/5/2020,palpa,nepalpolice.gov.np
962,opportunist,assault,police,physical injury,7/5/2020,rupandehi,inseconline.org
963,opportunist,assault,police,physical injury,7/5/2020,morang,inseconline.org
964,opportunist,assault,police,physical injury,9/5/2020,salyan,nayapatrikadaily.com
965,opportunist,assault,police,physical injury,10/5/2020,bhojpur,nepalpolice.gov.np
966,opportunist,assault,police,physical injury,12/5/2020,darchula,nepalpolice.gov.np
967,minor,assault,police,physical injury,12/5/2020,siraha,nepalpolice.gov.np
968,opportunist,assault,police,physical injury,12/5/2020,dhanusa,nayapatrikadaily.com
969,opportunist,assault,police,physical injury,12/5/2020,nuwakot,inseconline.org
970,opportunist,assault,police,physical injury,13/05/2020,bhaktapur,nepalpolice.gov.np
971,opportunist,assault,police,physical injury,13/05/2020,morang,nagariknetwork.com
972,minor,assault,police,physical injury,13/05/2020,nawalparasi,inseconline.org
973,opportunist,assault,police,physical injury,13/05/2020,rupandehi,inseconline.org
974,opportunist,assault,police,physical injury,14/05/2020,dang,inseconline.org
975,opportunist,assault,police,physical injury,14/05/2020,parsa,onlinekhabar.com
976,gang,assault,police,physical injury,14/05/2020,dhankuta,inseconline.org
977,opportunist,assault,police,physical injury,15/05/2020,kapilvastu,blastkhabar.com
978,minor,assault,police,physical injury,15/05/2020,saptari,inseconline.org
979,opportunist,assault,police,physical injury,16/05/2020,morang,nepalpolice.gov.np
980,minor,assault,parents,physical injury,17/05/2020,sunsari,blastkhabar.com
981,gang,assault,police,physical injury,18/05/2020,dang,khabarhub.com
982,opportunist,assault,police,physical injury,19/05/2020,morang,nepalpolice.gov.np
983,opportunist,assault,police,physical injury,19/05/2020,sunsari,blastkhabar.com
984,opportunist,assault,police,physical injury,20/05/2020,rupandehi,nepalpolice.gov.np
985,opportunist,assault,police,physical injury,20/05/2020,bardiya,nepalpolice.gov.np
986,minor,assault,police,physical injury,21/05/2020,udayapur,inseconline.org
987,opportunist,assault,police,physical injury,21/05/2020,makwanpur,nepalpolice.gov.np
988,opportunist,assault,police,physical injury,21/05/2020,siraha,nepalpolice.gov.np
989,gang,assault,police,physical injury,21/05/2020,bhaktapur,nayapatrikadaily.com
990,gang,assault,victim,physical injury,23/05/2020,palpa,kharibot.com
991,opportunist,assault,police,physical injury,24/05/2020,myagdi,inseconline.org
992,opportunist,assault,police,physical injury,25/05/2020,dhading,inseconline.org
993,opportunist,assault,police,physical injury,26/05/2020,syangja,setopati.com
994,opportunist,assault,family,physical injury,26/05/2020,kapilvastu,ratopati.com
995,opportunist,assault,victim,physical injury,26/05/2020,sunsari,inseconline.org
996,opportunist,assault,police,physical injury,26/05/2020,dang,rajdhanidaily.com
997,opportunist,assault,police,physical injury,26/05/2020,sindhupalchowk,ratopati.com
998,minor,assault,family,physical injury,23/05/2020,jhapa,ratopati.com
999,opportunist,assault,police,physical injury,29/05/2020,saptari,inseconline.org
1000,opportunist,assault,police,physical injury,30/05/2020,kailali,onlinekhabar.com
1001,opportunist,assault,police,physical injury,30/05/2020,siraha,inseconline.org
1002,opportunist,assault,police,physical injury,31/05/2020,udayapur,nepalpolice.gov.np
1003,minor,assault,police,physical injury,31/05/2020,nawalparasi,setopati.com
1004,opportunist,assault,police,physical injury,2/6/2020,udayapur,inseconline.org
1005,minor,assault,police,physical injury,2/6/2020,kathmandu,inseconline.org
1006,opportunist,assault,police,physical injury,2/6/2020,dang,inseconline.org
1007,opportunist,assault,police,physical injury,2/6/2020,nawalparasi,inseconline.org
1008,opportunist,assault,police,physical injury,2/6/2020,panchthar,nepalpolice.gov.np
1009,minor,assault,police,physical injury,3/6/2020,bhaktapur,nepalpolice.gov.np
1010,opportunist,assault,police,physical injury,5/6/2020,dang,inseconline.org
1011,opportunist,assault,police,physical injury,6/6/2020,kapilvastu,inseconline.org
1012,minor,assault,police,physical injury,7/6/2020,rupandehi,ekantipur.com
1013,gang,assault,police,physical injury,9/6/2020,kailali,ratopati.com
1014,opportunist,assault,police,physical injury,10/6/2020,siraha,thehimalayantimes.com
1015,opportunist,assault,police,physical injury,10/6/2020,nuwakot,nepalpolice.gov.np
1016,minor,assault,police,physical injury,10/6/2020,nawalparasi,rajdhanidaily.com
1017,minor,assault,police,physical injury,11/6/2020,nawalparasi,nepalpolice.gov.np
1018,opportunist,assault,police,physical injury,11/6/2020,kanchanpur,nepalpolice.gov.np
1019,opportunist,assault,police,murder,11/6/2020,siraha,newsofnepal.com
1020,opportunist,assault,police,physical injury,12/6/2020,lalitpur,nepalpolice.gov.np
1021,gang,assault,police,physical injury,13/06/2020,kailali,nagariknetwork.com
1022,opportunist,assault,police,physical injury,15/06/2020,nawalparasi,inseconline.org
1023,minor,assault,parents,physical injury,15/06/2020,taplejung,inseconline.org
1024,opportunist,assault,victim,pregnant,16/06/2020,saptari,inseconline.org
1025,opportunist,assault,police,physical injury,17/06/2020,jhapa,nepalpolice.gov.np
1026,opportunist,assault,police,physical injury,17/06/2020,kanchanpur,dineshkhabar.com
1027,gang,assault,police,physical injury,18/06/2020,kailali,setopati.com
1028,gang,assault,police,physical injury,18/06/2020,dang,rajdhanidaily.com
1029,minor,assault,police,physical injury,18/06/2020,kapilvastu,inseconline.org
1030,minor,assault,police,physical injury,20/06/2020,bhaktapur,nepalpati.com
1031,opportunist,assault,police,physical injury,20/06/2020,lalitpur,nepalpolice.gov.np
1032,opportunist,assault,police,physical injury,20/06/2020,saptari,nepalpolice.gov.np
1033,minor,assault,police,physical injury,20/06/2020,kanchanpur,nepalpolice.gov.np
1034,opportunist,assault,police,physical injury,20/06/2020,bhaktapur,nepalpolice.gov.np
1035,opportunist,assault,police,physical injury,22/06/2020,parbat,newsofnepal.com
1036,opportunist,assault,police,physical injury,22/06/2020,lalitpur,nepalpolice.gov.np
1037,opportunist,assault,police,physical injury,22/06/2020,bara,nepalpolice.gov.np
1038,opportunist,assault,police,physical injury,23/06/2020,lalitpur,nepalpolice.gov.np
1039,opportunist,assault,police,physical injury,25/06/2020,kailali,nepalpolice.gov.np
1040,minor,assault,police,physical injury,26/06/2020,rukum,nepalpolice.gov.np
1041,opportunist,assault,police,physical injury,26/06/2020,sindhuli,nepalpolice.gov.np
1042,minor,assault,police,physical injury,27/06/2020,salyan,annapurnapost.com
1043,opportunist,assault,police,physical injury,28/06/2020,kathmandu,nepalmonitor.org
1044,minor,assault,police,physical injury,28/06/2020,kailali,dineshkhabar.com
1045,minor,assault,police,physical injury,29/06/2020,banke,nepalpolice.gov.np
1046,minor,assault,parents,physical injury,29/06/2020,banke,inseconline.org
1047,opportunist,assault,police,physical injury,1/7/2020,kapilvastu,nepalpati.com
1048,opportunist,assault,police,physical injury,1/7/2020,jhapa,nepalpati.com
1049,minor,assault,police,physical injury,3/7/2020,rukum,inseconline.org
1050,gang,assault,police,physical injury,4/7/2020,bardiya,nepalpolice.gov.np
1051,opportunist,assault,police,physical injury,6/7/2020,gulmi,nepalpolice.gov.np
1052,minor,assault,police,physical injury,6/7/2020,okhaldhunga,nepalpolice.gov.np
1053,opportunist,assault,police,physical injury,6/7/2020,dang,rajdhanidaily.com
1054,gang,assault,police,physical injury,7/7/2020,kapilvastu,nepalpolice.gov.np
1055,minor,assault,police,physical injury,7/7/2020,kanchanpur,nepalpolice.gov.np
1056,opportunist,assault,police,physical injury,8/7/2020,gulmi,nepalpolice.gov.np
1057,opportunist,assault,parents,physical injury,9/7/2020,sindhupalchowk,inseconline.org
1058,opportunist,assault,police,physical injury,10/7/2020,udayapur,nepalpolice.gov.np
1059,minor,assault,police,physical injury,10/7/2020,bardiya,nepalpolice.gov.np
1060,opportunist,assault,police,physical injury,10/7/2020,dang,inseconline.org
1061,gang,assault,police,physical injury,11/7/2020,achham,nepalpolice.gov.np
1062,opportunist,assault,police,physical injury,11/7/2020,dhanusa,nepalpolice.gov.np
1063,minor,assault,police,physical injury,12/7/2020,palpa,nepalpolice.gov.np
1064,minor,assault,police,physical injury,13/07/2020,lalitpur,nepalpolice.gov.np
1065,opportunist,assault,police,physical injury,13/07/2020,lalitpur,setopati.com
1066,opportunist,assault,police,physical injury,14/07/2020,rautahat,nepalpolice.gov.np
1067,opportunist,assault,police,physical injury,14/07/2020,jhapa,nepalmonitor.org
1068,opportunist,assault,police,physical injury,14/07/2020,baitadi,rajdhanidaily.com
1069,minor,assault,police,physical injury,14/07/2020,baitadi,rajdhanidaily.com
1070,gang,assault,police,physical injury,14/07/2020,kaski,rajdhanidaily.com
1071,minor,assault,police,physical injury,16/07/2020,jhapa,nepalpolice.gov.np
1072,minor,assault,police,physical injury,16/07/2020,siraha,thehimalayantimes.com
1073,opportunist,assault,police,physical injury,17/07/2020,parsa,nepalmonitor.org
1074,opportunist,assault,police,physical injury,18/07/2020,siraha,nepalpolice.gov.np
1075,opportunist,assault,police,physical injury,18/07/2020,okhaldhunga,ratopati.com
1076,opportunist,assault,police,physical injury,19/07/2020,gulmi,nepalpolice.gov.np
1077,minor,assault,police,physical injury,19/07/2020,jhapa,thehimalayantimes.com
1078,opportunist,assault,police,physical injury,19/07/2020,panchthar,nepalpolice.gov.np
1079,minor,assault,police,physical injury,19/07/2020,siraha,nepalmonitor.org
1080,opportunist,assault,police,physical injury,19/07/2020,dang,rajdhanidaily.com
1081,minor,assault,police,physical injury,19/07/2020,bardiya,nepalpolice.gov.np
1082,gang,assault,police,physical injury,19/07/2020,parbat,nepalpolice.gov.np
1083,opportunist,assault,police,physical injury,20/07/2020,lalitpur,nepalpolice.gov.np
1084,opportunist,assault,police,physical injury,20/07/2020,okhaldhunga,nepalpolice.gov.np
1085,opportunist,assault,victim,physical injury,21/07/2020,jhapa,nepalnews.com
1086,gang,assault,police,physical injury,21/07/2020,kailali,thehimalayantimes.com
1087,opportunist,assault,victim,physical injury,23/07/2020,bhaktapur,thehimalayantimes.com
1088,opportunist,assault,police,physical injury,23/07/2020,okhaldhunga,nepalpolice.gov.np
1089,opportunist,assault,police,pregnant,23/07/2020,okhaldhunga,nepalpolice.gov.np
1090,opportunist,assault,police,physical injury,23/07/2020,rupandehi,nepalpolice.gov.np
1091,opportunist,assault,police,physical injury,23/07/2020,morang,nagariknetwork.com
1092,opportunist,assault,police,physical injury,24/07/2020,kathmandu,nepalpolice.gov.np
1093,minor,assault,police,physical injury,25/07/2020,salyan,inseconline.org
1094,opportunist,assault,police,physical injury,25/07/2020,taplejung,nagariknetwork.com
1095,opportunist,assault,police,physical injury,25/07/2020,jumla,nepalpolice.gov.np
1096,opportunist,assault,parents,physical injury,26/07/2020,dadeldhura,nepalmonitor.org
1097,opportunist,assault,police,physical injury,27/07/2020,rukum,nepalpolice.gov.np
1098,opportunist,assault,police,physical injury,27/07/2020,lalitpur,nepalpolice.gov.np
1099,opportunist,assault,police,physical injury,27/07/2020,rolpa,nepalpolice.gov.np
1100,opportunist,assault,police,physical injury,28/07/2020,dhanusa,news24nepal.tv
1101,opportunist,assault,police,physical injury,28/07/2020,kanchanpur,dineshkhabar.com
1102,opportunist,assault,police,physical injury,29/07/2020,rukum,nepalpolice.gov.np
1103,opportunist,assault,police,physical injury,1/8/2020,bardiya,nepalpolice.gov.np
1104,opportunist,assault,police,physical injury,2/8/2020,banke,nepalpolice.gov.np
1105,opportunist,assault,parents,physical injury,3/8/2020,gorkha,ratopati.com
1106,opportunist,assault,police,physical injury,3/8/2020,kaski,nepalpolice.gov.np
1107,opportunist,assault,police,physical injury,3/8/2020,kailali,nepalpolice.gov.np
1108,opportunist,assault,police,physical injury,3/8/2020,nawalparasi,inseconline.org
1109,opportunist,assault,police,physical injury,4/8/2020,nawalparasi,inseconline.org
1110,opportunist,assault,police,physical injury,4/8/2020,nawalparasi,inseconline.org
1111,opportunist,assault,police,physical injury,5/8/2020,udayapur,inseconline.org
1112,opportunist,assault,police,physical injury,5/8/2020,taplejung,nepalpolice.gov.np
1113,minor,assault,police,physical injury,5/8/2020,okhaldhunga,nepalpolice.gov.np
1114,opportunist,assault,police,physical injury,5/8/2020,kailali,nepalpolice.gov.np
