District,Ethnicity code
Jhapa,AVS
Kaski,AVS
Kaski,AVS
Kaski,AVS
Kaski,AVS
Siraha,CHT
Siraha,MDS
Gulmi,JNJT
Panchthar,AVS
Siraha,AVS
Dang,MDS
Bardiya,OTR
Lalitpur,AVS
Siraha,REG
Jhapa,AVS
Bhaktapur,BMN
Rupandehi,BMN
Morang,AVS
Bhojpur,AVS
Salyan,CHT
Taplejung,AVS
Jumla,REG
Rukum East,DLT
Kailali,CHT
Rolpa,JNJT
Dhanusha,DLT
Kanchanpur,MDS
Bardiya,JNJT
Banke,JNJT
Gorkha,MDS
Kailali,AVS
Parasi,AVS
Parasi,DLT
Udayapur,CHT
Taplejung,AVS
Okhaldhunga,BMN
Kailali,AVS
Dolpa,MDS
Dolpa,MDS
Okhaldhunga,AVS
Rupandehi,MDS
Udayapur,CHT
Jhapa,AVS
Saptari,MDS
Kathmandu,KAVS
Kailali,AVS
Salyan,BMN
Rautahat,MSLM
Chitwan,DLT
Nuwakot,AVS
Salyan,DLT
Dhading,DLT
Kirtipur,AVS
Lalitpur,AVS
Tanahu,JNJT
Sunsari,AVS
Udayapur,BMN
Rautahat,MDS
Saptari,MDS
Udayapur,JNJT
Nuwakot,AVS
Arghakhanchi,CHT
Chitwan,AVS
Morang,AVS
Bardiya,DLT
Morang,CHT
Saptari,MDS
Dang,JNJT
Rupandehi,MDS
Panchthar,AVS
Kanchanpur,BMN
Dhanusha,MDS
Sunsari,MSLM
Saptari,MDS
Ramechhap,CHT
Rukum West,BMN
Dang,BMN
Kanchanpur,JNJT
Kalikot,REG
Jhapa,DLT
Jhapa,MSLM
Kanchanpur,JNJT
Bhaktapur,AVS
Mustang,DLT
Kailali,CHT
Kailali,DLT
Kailali,DLT
Kailali,DLT
Morang,AVS
Myagdi,JNJT
Makwanpur,AVS
Syangja,AVS
Kailali,AVS
Kapilvastu,CHT
Sunsari,AVS
Jhapa,AVS
Kaski,AVS
Mugu,REG
Mugu,REG
Kailali,DLT
Siraha,AVS
Lamjung,AVS
Kaski,CHT
Kaski,BMN
Baitadi,CHT
Baitadi,CHT
Baitadi,CHT
Kailali,REG
Kailali,OTR
Kailali,CHT
Kailali,AVS
Kaski,BMN
Morang,BMN
Panchthar,AVS
Siraha,MDS
Dhanusha,REG
Dolakha,AVS
Saptari,MDS
Saptari,MDS
Kavrepalanchok,AVS
Ramechhap,AVS
Rautahat,DLT
Sunsari,AVS
Dang,AVS
Okhaldhunga,AVS
Kanchanpur,AVS
Jhapa,BMN
Udayapur,DLT
Kailali,CHT
Saptari,MDS
Saptari,MDS
Taplejung,AVS
Kavrepalanchok,JNJT
Kavrepalanchok,CHT
Kavrepalanchok,MDS
Sunsari,AVS
Salyan,DLT
Kapilvastu,DLT
Okhaldhunga,JNJT
Bhojpur,AVS
Udayapur,BMN
Udayapur,AVS
Sunsari,BMN
Saptari,MDS
Chitwan,AVS
Sunsari,MDS
Doti,DLT
Bhaktapur,AVS
Kathmandu,CHT
Kathmandu,AVS
Siraha,REG
Morang,REG
Bardiya,DLT
Taplejung,AVS
Siraha,MDS
Dhanusha,MDS
Lalitpur,AVS
Dhanusha,MDS
Kanchanpur,JNJT
Sunsari,MDS
Kathmandu,BMN
Parasi,MSLM
Bardiya,CHT
Sunsari,AVS
Parsa,MDS
Palpa,BMN
Dhanusha,MDS
Dhanusha,DLT
Kathmandu,BMN
Kapilvastu,MSLM
Siraha,MSLM
Kathmandu,AVS
Bhojpur,AVS
Udayapur,AVS
Okhaldhunga,AVS
Dang,BMN
Dang,DLT
Sunsari,DLT
Siraha,MDS
Kathmandu,BMN
Dang,MDS
Rautahat,MDS
Tanahu,BMN
Salyan,AVS
Arghakhanchi,MSLM
Parasi,MDS
Kathmandu,JNJT
Sindhupalchok,AVS
Sunsari,BMN
Siraha,MDS
Dhanusha,CHT
Terhathum,AVS
Udayapur,AVS
Bardiya,JNJT
Dhading,BMN
Sunsari,AVS
Udayapur,MSLM
Udayapur,MSLM
Sunsari,JNJT
Ilam,AVS
Dhanusha,MDS
Sunsari,DLT
Makwanpur,AVS
Udayapur,JNJT
Taplejung,AVS
Taplejung,AVS
Saptari,MDS
Saptari,MDS
Saptari,MDS
Doti,MDS
India,MSLM
Morang,AVS
Morang,AVS
Morang,MDS
Dang,CHT
Sindhupalchok,JNJT
Okhaldhunga,DLT
Sunsari,AVS
Sunsari,MDS
Saptari,MDS
Makwanpur,AVS
Jhapa,DLT
Rautahat,CHT
Kathmandu,CHT
Gorkha,AVS
Makwanpur,AVS
Kathmandu,AVS
Udayapur,CHT
Syangja,DLT
Dang,DLT
Saptari,MDS
Syangja,AVS
Saptari,MDS
Kailali,REG
Sarlahi,MDS
Kathmandu,MDS
Morang,MDS
Makwanpur,AVS
Dhanusha,MDS
Dolakha,JNJT
Sunsari,MSLM
Parsa,MDS
Kailali,JNJT
Rautahat,MDS
Dhanusha,MDS
Siraha,MSLM
Dolakha,AVS
Bhaktapur,CHT
Morang,MDS
Ramechhap,CHT
Terhathum,AVS
Okhaldhunga,DLT
Kathmandu,BMN
Nuwakot,BMN
Udayapur,BMN
Gulmi,BMN
Gulmi,CHT
Sindhuli,MDS
Jhapa,CHT
Palpa,DLT
Lalitpur,AVS
Jhapa,AVS
Kanchanpur,CHT
Nuwakot,BMN
Siraha,MDS
Banke,MDS
Banke,AVS
Lalitpur,DLT
Udayapur,JNJT
Ilam,AVS
Kathmandu,DLT
Bardiya,CHT
Lalitpur,AVS
Makwanpur,AVS
Bhojpur,BMN
Syangja,CHT
Bardiya,AVS
Sunsari,AVS
Kaski,CHT
Rupandehi,MSLM
Baitadi,KCHT
Lalitpur,BMN
Rupandehi,DLT
Kailali,DLT
Kathmandu,AVS
Kanchanpur,MDS
Ilam,DLT
Parsa,MSLM
Dang,BMN
Jhapa,BMN
Rupandehi,CHT
Siraha,MSLM
Saptari,AVS
Bhaktapur,OTR
Kailali,BMN
Kailali,CHT
Dolpa,AVS
Saptari,AVS
Salyan,BMN
Sunsari,MDS
Makwanpur,AVS
Banke,MDS
Morang,AVS
India,CHT
Tanahu,CHT
Siraha,MDS
Udayapur,AVS
Gulmi,JNJT
Parasi,JNJT
Dailekh,DLT
Kapilvastu,REG
Kathmandu,MDS
Bara,AVS
Syangja,KAVS
Khotang,AVS
Darchula,MDS
Rupandehi,MSLM
Parsa,AVS
Kailali,CHT
Palpa,CHT
Bara,MDS
Makwanpur,AVS
Morang,DLT
India,MDS
Saptari,MSLM
Morang,MDS
Dailekh,JNJT
Gorkha,DLT
Siraha,MDS
Saptari,OTR
Kailali,CHT
Saptari,MSLM
Siraha,AVS
Salyan,DLT
Siraha,AVS
Saptari,AVS
Bhojpur,AVS
Syangja,AVS
Rupandehi,MDS
Ramechhap,AVS
Dhanusha,JNJT
Siraha,MDS
Dang,BMN
Parsa,JNJT
Bhaktapur,CHT
Kapilvastu,MSLM
Kathmandu,MDS
Kanchanpur,AVS
Salyan,DLT
Sindhupalchok,AVS
Solukhumbu,CHT
Dadeldhura,JNJT
Bara,MDS
Morang,AVS
Sunsari,DLT
